door_column,nb_doors
3,545
4,716
5,981
6,1268
7,1344
8,1376
9,1419
10,1349
11,1322
12,1345
13,1312
14,1281
15,1277
16,1228
17,1316
18,1261
19,1280
20,1235
21,1210
22,1248
23,1212
24,1225
25,1228
26,1265
27,1288
28,1288
29,1259
30,1286
31,1288
32,1290
33,1259
34,1245
35,1278
36,1227
37,1299
38,1218
39,1285
40,1208
41,1332
42,1224
43,1248
44,1278
45,1266
46,1293
47,1226
48,1266
49,1230
50,1226
51,1277
52,1224
53,1280
54,1207
55,1166
56,1298
57,1224
58,1244
59,1213
60,1227
61,1220
62,1203
63,1209
64,1268
65,1259
66,1144
67,1286
68,1229
69,1237
70,1190
71,1230
72,1173
73,1097
74,969
75,781
76,562
77,476
