scorr_line,scorr_column,nb_scorrs
0,3,15
0,4,35
0,5,55
0,6,66
0,7,49
0,8,50
0,9,46
0,10,35
0,11,57
0,12,45
0,13,37
0,14,40
0,15,50
0,16,46
0,17,41
0,18,54
0,19,48
0,20,41
0,21,48
0,22,42
0,23,51
0,24,42
0,25,34
0,26,39
0,27,56
0,28,65
0,29,60
0,30,57
0,31,47
0,32,57
0,33,42
0,34,42
0,35,46
0,36,46
0,37,57
0,38,35
0,39,40
0,40,39
0,41,51
0,42,53
0,43,49
0,44,37
0,45,56
0,46,37
0,47,54
0,48,50
0,49,56
0,50,57
0,51,62
0,52,48
0,53,51
0,54,41
0,55,46
0,56,37
0,57,59
0,58,39
0,59,55
0,60,41
0,61,47
0,62,47
0,63,43
0,64,40
0,65,43
0,66,34
0,67,37
0,68,36
0,69,37
0,70,50
0,71,46
0,72,35
0,73,47
0,74,50
0,75,48
0,76,25
0,77,19
1,3,29
1,4,39
1,5,55
1,6,45
1,7,40
1,8,59
1,9,48
1,10,34
1,11,43
1,12,56
1,13,55
1,14,45
1,15,62
1,16,50
1,17,49
1,18,49
1,19,46
1,20,40
1,21,51
1,22,54
1,23,48
1,24,56
1,25,60
1,26,57
1,27,43
1,28,44
1,29,51
1,30,56
1,31,50
1,32,44
1,33,54
1,34,47
1,35,51
1,36,61
1,37,55
1,38,52
1,39,45
1,40,46
1,41,61
1,42,41
1,43,49
1,44,46
1,45,55
1,46,52
1,47,55
1,48,41
1,49,57
1,50,46
1,51,56
1,52,57
1,53,51
1,54,37
1,55,44
1,56,54
1,57,58
1,58,59
1,59,47
1,60,41
1,61,42
1,62,41
1,63,45
1,64,46
1,65,38
1,66,45
1,67,50
1,68,41
1,69,50
1,70,57
1,71,49
1,72,49
1,73,44
1,74,37
1,75,36
1,76,30
1,77,19
2,3,18
2,4,27
2,5,40
2,6,63
2,7,57
2,8,50
2,9,42
2,10,34
2,11,55
2,12,47
2,13,49
2,14,49
2,15,53
2,16,61
2,17,51
2,18,45
2,19,57
2,20,47
2,21,59
2,22,66
2,23,56
2,24,66
2,25,56
2,26,63
2,27,67
2,28,68
2,29,64
2,30,66
2,31,76
2,32,85
2,33,60
2,34,68
2,35,88
2,36,76
2,37,66
2,38,69
2,39,67
2,40,80
2,41,67
2,42,56
2,43,71
2,44,86
2,45,58
2,46,72
2,47,70
2,48,65
2,49,67
2,50,67
2,51,64
2,52,76
2,53,80
2,54,72
2,55,53
2,56,66
2,57,54
2,58,55
2,59,71
2,60,56
2,61,52
2,62,62
2,63,58
2,64,54
2,65,57
2,66,52
2,67,55
2,68,46
2,69,46
2,70,51
2,71,41
2,72,42
2,73,42
2,74,32
2,75,25
2,76,24
2,77,15
3,3,10
3,4,14
3,5,19
3,6,18
3,7,23
3,8,23
3,9,34
3,10,37
3,11,35
3,12,43
3,13,40
3,14,47
3,15,35
3,16,59
3,17,59
3,18,56
3,19,47
3,20,48
3,21,42
3,22,53
3,23,60
3,24,61
3,25,74
3,26,64
3,27,54
3,28,58
3,29,62
3,30,64
3,31,53
3,32,55
3,33,44
3,34,67
3,35,61
3,36,63
3,37,60
3,38,66
3,39,57
3,40,64
3,41,53
3,42,56
3,43,58
3,44,63
3,45,70
3,46,67
3,47,61
3,48,59
3,49,60
3,50,39
3,51,57
3,52,51
3,53,56
3,54,72
3,55,50
3,56,62
3,57,51
3,58,54
3,59,41
3,60,56
3,61,57
3,62,49
3,63,53
3,64,42
3,65,44
3,66,44
3,67,49
3,68,38
3,69,37
3,70,36
3,71,23
3,72,21
3,73,20
3,74,24
3,75,13
3,76,10
3,77,12
4,3,6
4,4,7
4,5,5
4,6,12
4,7,19
4,8,29
4,9,28
4,10,36
4,11,46
4,12,39
4,13,41
4,14,52
4,15,51
4,16,63
4,17,59
4,18,61
4,19,60
4,20,65
4,21,71
4,22,62
4,23,59
4,24,72
4,25,81
4,26,54
4,27,55
4,28,58
4,29,75
4,30,81
4,31,69
4,32,66
4,33,60
4,34,83
4,35,58
4,36,67
4,37,84
4,38,67
4,39,68
4,40,70
4,41,56
4,42,79
4,43,93
4,44,67
4,45,77
4,46,60
4,47,64
4,48,67
4,49,75
4,50,61
4,51,63
4,52,76
4,53,69
4,54,68
4,55,51
4,56,81
4,57,52
4,58,72
4,59,66
4,60,67
4,61,53
4,62,69
4,63,85
4,64,61
4,65,61
4,66,50
4,67,51
4,68,52
4,69,24
4,70,28
4,71,28
4,72,40
4,73,15
4,74,11
4,75,7
4,76,5
4,77,2
5,3,4
5,4,12
5,5,12
5,6,13
5,7,22
5,8,29
5,9,36
5,10,44
5,11,39
5,12,51
5,13,61
5,14,70
5,15,70
5,16,66
5,17,66
5,18,74
5,19,72
5,20,60
5,21,74
5,22,76
5,23,72
5,24,83
5,25,71
5,26,80
5,27,57
5,28,70
5,29,70
5,30,77
5,31,74
5,32,84
5,33,79
5,34,71
5,35,70
5,36,90
5,37,77
5,38,71
5,39,61
5,40,68
5,41,68
5,42,82
5,43,77
5,44,86
5,45,80
5,46,73
5,47,75
5,48,62
5,49,67
5,50,72
5,51,58
5,52,74
5,53,75
5,54,71
5,55,62
5,56,72
5,57,79
5,58,72
5,59,77
5,60,88
5,61,76
5,62,72
5,63,54
5,64,56
5,65,69
5,66,52
5,67,59
5,68,55
5,69,44
5,70,41
5,71,35
5,72,22
5,73,24
5,74,14
5,75,6
5,76,12
5,77,4
6,3,19
6,4,18
6,5,27
6,6,23
6,7,36
6,8,54
6,9,58
6,10,62
6,11,71
6,12,76
6,13,74
6,14,69
6,15,85
6,16,74
6,17,82
6,18,82
6,19,90
6,20,103
6,21,86
6,22,88
6,23,92
6,24,79
6,25,106
6,26,94
6,27,84
6,28,77
6,29,112
6,30,88
6,31,79
6,32,93
